fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"14756","Dallas","Mason Bank","Mason","TX","76856","Commercial Bank","State","03327","0368054","","","14aug1997"
"14759","Seattle","Mountain America Credit Union","Salt Lake City","UT","84111","Credit Union","Federal","","","","24692","15aug1997"
"14762","Cincinnati","OHIO HERITAGE BANK","Coshocton","OH","43812","Commercial Bank","State","34071","2347044","","","19aug1997"
"14765","Des Moines","First National Bank ","Malden","MO","63863","Commercial Bank","National","19349","0991359","","","19aug1997"
"14766","Boston","ATHOL SAVINGS BANK","Athol","MA","01331","Savings Bank","State","90146","0408307","","","21aug1997"
"14769","Cincinnati","THE FIRST CAPITAL BANK","Louisville","KY","40207","Commercial Bank","State","34125","2399119","","","22aug1997"
"14771","Atlanta","Bank of Early","Blakely","GA","31723","Commercial Bank","State","15813","1015832","","","22aug1997"
"14779","Cincinnati","THE PEOPLES BANK CO","Coldwater","OH","45828","Commercial Bank","State","13220","0702911","","","27aug1997"
"14780","San Francisco","Sunwest Bank","Tustin","CA","92780","Commercial Bank","State","20164","0140362","","","27aug1997"
"14781","Topeka","Mccurtain County National Bank","Idabel","OK","74745","Commercial Bank","National","23798","0423159","","","28aug1997"
"14782","Topeka","Citizens State Bank of Marysville - Marysville, KS","Marysville","KS","66508","Commercial Bank","State","14269","0572459","","","28aug1997"
"14783","San Francisco","Valley Business Bank","Visalia","CA","93291","Commercial Bank","State","34156","2446152","","","28aug1997"
"14784","San Francisco","Orange County's Credit Union","Santa Ana","CA","92705","Credit Union","State","","","","68416","28aug1997"
"14785","Cincinnati","HEARTLAND BANK","Croton","OH","43013","Commercial Bank","State","09443","0853112","","","29aug1997"
"14787","Dallas","Classic Bank, National Association","Cameron","TX","76520","Commercial Bank","National","03126","0182951","","","28aug1997"
"14788","Chicago","The Bank of Brodhead","Brodhead","WI","53520","Commercial Bank","State","02455","0517441","","","29aug1997"
"14789","Chicago","The Pineries Bank","Stevens Point","WI","54481","Commercial Bank","State","09526","0674344","","","29aug1997"
"14790","Dallas","State Bank and Trust Company","Cleveland","MS","38732","Commercial Bank","State","08878","0736448","","","29aug1997"
"14792","Chicago","Hickory Point Bank And Trust, FSB","Decatur","IL","62523","Savings Bank","Federal","22874","","14792","","14jan1998"
"14794","Topeka","Bank of Nebraska - La Vista, NE","La Vista","NE","68128","Commercial Bank","State","21704","0012955","","","03sep1997"
"14795","Des Moines","Cherokee State Bank","Cherokee","IA","51012","Commercial Bank","State","00951","0205542","","","04sep1997"
"14797","Chicago","Wolf River Community Bank","Hortonville","WI","54944","Commercial Bank","State","34240","2505424","","","05sep1997"
"14798","Topeka","Bank SNB, National Association","Stillwater","OK","74074","Commercial Bank","National","04201","0398350","","","05sep1997"
"14800","Boston","HYDE PARK SAVINGS BA","Hyde Park","MA","02136","Savings Bank","State","90160","0028406","","","08sep1997"
"14801","Boston","Northern Ma Telephone Workers CU","Lowell","MA","01851","Credit Union","State","","","","66365","08sep1997"
"14803","Boston","MECHANICS COOPERATIV","Taunton","MA","02780","Savings Bank","State","26634","0183770","","","08sep1997"
"14806","Des Moines","Bremer Bank, National Association","Fargo","ND","58103","Commercial Bank","National","34380","2516327","","","10sep1997"
"14808","Des Moines","Citizens State Bank Norwood Young America","Norwood Young America","MN","55368","Commercial Bank","State","01933","0875655","","","11sep1997"
"14809","Des Moines","Minnstar Bank, National Association","Lake Crystal","MN","56055","Commercial Bank","National","13809","0089854","","","11sep1997"
"14810","Des Moines","Northwoods Bank of Minnesota","Park Rapids","MN","56470","Savings Bank","Federal","01415","","14810","","12sep1991"
"14811","Dallas","Chappell Hill Bank","Chappell Hill","TX","77426","Commercial Bank","State","11570","0748357","","","12sep1997"
"14815","Topeka","Premier Members Federal Credit Union","Boulder","CO","80303","Credit Union","Federal","","","","17277","16sep1997"
